Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030540,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9103,F02,PP01,"4,099.350",KG,8/5/2019,8/7/2019,0001
1030541,RB11,RKVV22100-DR000100,VINYLAX-221,CH9016,F02,PP01,"8,898.780",KG,8/6/2019,8/8/2019,0001
1030542,RB11,RKA506000-DR000200,ACRYLAX-506,CH9075,F02,PP01,"11,832.000",KG,8/6/2019,8/8/2019,0001
1030543,RB11,RKA1311H1-DR000200,ACRYLAX-1311H-10,CH9012,F02,PP01,"5,117.800",KG,8/6/2019,8/8/2019,0001
1030544,RB11,RKA1301M0-DR000200,ACRYLAX-1301M,CH9005,F02,PP01,"1,700.000",KG,8/7/2019,8/9/2019,0001
1030545,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9104,F02,PP01,"4,099.350",KG,8/6/2019,8/8/2019,0001
1030546,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CH9038,F02,PP01,"1,042.400",KG,8/6/2019,8/8/2019,0001
1030547,RB11,ERABW5600-BLK01000,STRUCT BOND BW-5600,CH9025,F02,PP01,"8,029.700",KG,8/7/2019,8/9/2019,0001
1030548,RB11,RKVV25000-DR000100,VINYLAX-25,CH9004,F02,PP01,"4,842.800",KG,8/7/2019,8/9/2019,0001
1030549,RB11,ENGSE310B-BLK20000,ALMATEX SE310B,CH9019,F02,PP01,"10,314.220",KG,8/7/2019,8/9/2019,0001
1030550,RB11,RKA506000-DR000200,ACRYLAX-506,CH9076,F02,PP01,"11,537.000",KG,8/7/2019,8/9/2019,0001
1030551,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CH9105,F02,PP01,"5,600.000",KG,8/7/2019,8/9/2019,0001
1030558,RB11,UGPHR7550-DR000200,THAMOL HR-755,CH9012,F03,PP01,"7,179.410",KG,8/6/2019,8/8/2019,0005
1030559,RB11,UGPAF1502-DR000200,THAMOL AF-1502,CH9010,F03,PP01,"1,807.360",KG,8/5/2019,8/7/2019,0001
1030560,RB11,UGPMP2164-DR000200,MP-2164(D),CH9058,F03,PP01,"1,788.000",KG,8/6/2019,8/8/2019,0002
1030561,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CH9048,F03,PP01,"5,037.460",KG,8/7/2019,8/9/2019,0008
1030563,RB11,UGPHL4560-DR000200,THAMOL HL-456,CH9018,F03,PP01,"5,228.281",KG,8/7/2019,8/9/2019,0002
1030565,RB11,UGPMP2164-DR000200,MP-2164(D),CH9059,F03,PP01,"1,788.000",KG,8/7/2019,8/9/2019,0002
1030568,RB11,RKPR14100-DR000160,POLYMAL R141,CH9023,F01,PP01,145.000,KG,8/6/2019,8/7/2019,0001
1030569,RB11,UGMPM3500-DR000250,COSMONATE PM-35,CH9007,F03,PP01,"2,600.000",KG,8/6/2019,8/8/2019,0001
1030572,RB11,ENR48B000-DR000200,U-VAN 48B,CH9030,F01,PP01,"8,022.000",KG,8/3/2019,8/5/2019,0001
1030573,RB11,ENR925T70-DR000200,U-VAN 925T-70,CH9014,F01,PP01,"7,581.000",KG,8/3/2019,8/5/2019,0001
1030574,RB11,UGPSL1733-DR000200,THAMOL SL-1733,CH9006,F03,PP01,420.000,KG,8/5/2019,8/7/2019,0001
1030575,RB11,UGPSL1960-DR000200,THAMOL SL-1960,CH9005,F03,PP01,400.000,KG,8/7/2019,8/9/2019,0002
1030576,RB11,UGPSL1733-DR000200,THAMOL SL-1733,CH9007,F03,PP01,410.000,KG,8/6/2019,8/8/2019,0001
1030577,RB11,UGPMP2164-DR000200,MP-2164(D),CH9060,F03,PP01,"1,788.000",KG,8/7/2019,8/9/2019,0002
1030578,RB11,UGPUF3000-DR000200,UF-3000-P,CH9002,F03,PP01,626.000,KG,8/6/2019,8/8/2019,0001
1030583,RB11,ERABW5600-BLK01200,STRUCT BOND BW-5600,CG9022,F02,PP01,"1,200.000",KG,8/6/2019,8/6/2019,0001
1030584,RB11,UGPVB443A-BLK01000,VB-443-A,CH9029,F03,PP01,"4,000.000",KG,8/7/2019,8/9/2019,0002
1030604,RB11,UGPBK009A-BLK01000,BACK-009-A,CH9017,F03,PP01,"5,000.000",KG,8/7/2019,8/9/2019,0002
